"filename", "language", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "JSON", "C#", "PostCSS", "comment", "blank", "total"
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Extensions/DependencyInjection.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 10, 68
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Implementations/Clients/ProductServiceClient.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Implementations/Repositories/CartRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 8, 53
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/InternetMarket.CartService.Infrastructure.csproj", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Migrations/20260121100828_InitialMigration.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 69, 0, 2, 21, 92
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Migrations/20260121100828_InitialMigration.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 56, 0, 3, 7, 66
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Migrations/20260218104306_AddUniqueUserIdIndexToCartService.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 71, 0, 2, 22, 95
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Migrations/20260218104306_AddUniqueUserIdIndexToCartService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 22, 0, 3, 4, 29
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Migrations/20260219095249_AddNavigationPropertyToCartService.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 78, 0, 2, 26, 106
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Migrations/20260219095249_AddNavigationPropertyToCartService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 39, 0, 3, 8, 50
"/home/matushd/Code/GitHub/InternetMarket/Backend/src/InternetMarket.CartService/InternetMarket.CartService.Infrastructure/Migrations/20260319112227_AddTitleFieldToCartItem.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 81, 0, 2, 27, 110
